Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2005","2005","hg/ha","48111","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2006","2006","hg/ha","50209","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2007","2007","hg/ha","44000","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2008","2008","hg/ha","42857","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2009","2009","hg/ha","41435","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2010","2010","hg/ha","125532","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2011","2011","hg/ha","191556","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2012","2012","hg/ha","198760","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2013","2013","hg/ha","246420","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2014","2014","hg/ha","201481","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2015","2015","hg/ha","207787","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2016","2016","hg/ha","211927","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2017","2017","hg/ha","208183","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2018","2018","hg/ha","209743","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2019","2019","hg/ha","206648","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2020","2020","hg/ha","217633","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01316","Mangoes, guavas and mangosteens","2021","2021","hg/ha","211232","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2001","2001","tonnes","3157.69","I","Imputed value"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2002","2002","tonnes","2300","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2003","2003","tonnes","2600","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2004","2004","tonnes","2800","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2005","2005","tonnes","2850","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2006","2006","tonnes","2800","T","Unofficial figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2007","2007","tonnes","2200","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2008","2008","tonnes","1800","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2009","2009","tonnes","953","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2010","2010","tonnes","590","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2011","2011","tonnes","862","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2012","2012","tonnes","1041.54","I","Imputed value"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2013","2013","tonnes","998","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2014","2014","tonnes","816","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2015","2015","tonnes","832.48","I","Imputed value"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2016","2016","tonnes","857.55","I","Imputed value"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2017","2017","tonnes","835.34","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2018","2018","tonnes","841.79","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2019","2019","tonnes","844.89","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2020","2020","tonnes","840.68","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01316","Mangoes, guavas and mangosteens","2021","2021","tonnes","842.45","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0118","Millet","2001","2001","hg/ha","18590","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0118","Millet","2002","2002","hg/ha","7475","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0118","Millet","2003","2003","hg/ha","10350","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0118","Millet","2004","2004","hg/ha","14190","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0118","Millet","2005","2005","hg/ha","14875","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0118","Millet","2006","2006","hg/ha","12028","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0118","Millet","2007","2007","hg/ha","18214","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0118","Millet","2008","2008","hg/ha","18128","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0118","Millet","2009","2009","hg/ha","18769","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0118","Millet","2010","2010","hg/ha","17809","A","Official figure"
